iter	Passed	Remaining
0	33	3349
1	83	4083
2	113	3680
3	145	3498
4	177	3372
5	247	3883
6	281	3742
7	291	3355
8	302	3058
9	343	3092
10	366	2969
11	381	2794
12	420	2811
13	430	2641
14	444	2519
15	473	2488
16	523	2557
17	571	2604
18	625	2667
19	707	2831
20	758	2854
21	802	2844
22	857	2870
23	908	2877
24	960	2881
25	1015	2889
26	1066	2884
27	1098	2824
28	1144	2803
29	1190	2777
30	1232	2743
31	1271	2702
32	1311	2663
33	1354	2628
34	1406	2612
35	1458	2592
36	1503	2560
37	1545	2520
38	1585	2480
39	1641	2462
40	1694	2438
41	1739	2402
42	1779	2359
43	1817	2313
44	1864	2278
45	1903	2235
46	1945	2194
47	1985	2151
48	2027	2110
49	2068	2068
50	2109	2026
51	2153	1987
52	2195	1946
53	2237	1906
54	2282	1867
55	2308	1813
56	2344	1769
57	2393	1733
58	2439	1695
59	2479	1652
60	2519	1610
61	2555	1566
62	2591	1521
63	2629	1478
64	2667	1436
65	2706	1394
66	2746	1352
67	2783	1309
68	2820	1267
69	2860	1225
70	2907	1187
71	2954	1148
72	3012	1114
73	3057	1074
74	3108	1036
75	3151	995
76	3189	952
77	3229	911
78	3270	869
79	3297	824
80	3337	782
81	3378	741
82	3420	700
83	3463	659
84	3514	620
85	3566	580
86	3606	538
87	3649	497
88	3692	456
89	3707	411
90	3747	370
91	3788	329
92	3828	288
93	3869	246
94	3909	205
95	3966	165
96	4019	124
97	4088	83
98	4146	41
99	4193	0
