iter	Passed	Remaining
285	17401	13020
286	17460	12958
287	17522	12898
288	17585	12839
289	17649	12780
290	17710	12720
291	17779	12664
292	17847	12608
293	17913	12551
294	17977	12492
295	18042	12434
296	18095	12368
297	18159	12309
298	18225	12252
299	18287	12191
300	18351	12132
301	18413	12072
302	18478	12014
303	18544	11956
304	18608	11897
305	18672	11838
306	18735	11778
307	18798	11718
308	18864	11660
309	18926	11599
310	18989	11540
311	19058	11483
312	19123	11425
313	19187	11365
314	19254	11307
315	19321	11250
316	19384	11190
317	19449	11131
318	19512	11071
319	19577	11012
320	19646	10955
321	19712	10896
322	19778	10838
323	19841	10777
324	19906	10718
325	19970	10659
326	20033	10598
327	20100	10540
328	20162	10479
329	20225	10419
330	20287	10358
331	20347	10296
332	20411	10236
333	20472	10174
334	20536	10115
335	20599	10054
336	20667	9996
337	20735	9938
338	20799	9878
339	20862	9817
340	20926	9757
341	20986	9695
342	21048	9634
343	21113	9574
344	21177	9514
345	21241	9454
346	21308	9395
347	21373	9335
348	21437	9275
349	21499	9214
350	21568	9156
351	21632	9095
352	21697	9035
353	21762	8975
354	21826	8915
355	21889	8854
356	21952	8793
357	22015	8732
358	22086	8674
359	22152	8614
360	22198	8547
361	22263	8487
362	22328	8426
363	22391	8366
364	22454	8304
365	22514	8242
366	22576	8181
367	22642	8121
368	22706	8061
369	22768	7999
370	22833	7939
371	22896	7878
372	22961	7818
373	23025	7757
374	23087	7695
375	23151	7634
376	23214	7574
377	23275	7512
378	23341	7452
379	23404	7390
380	23472	7331
381	23534	7269
382	23596	7208
383	23660	7147
384	23724	7086
385	23789	7025
386	23855	6965
387	23921	6905
388	23986	6844
389	24046	6782
390	24109	6720
391	24170	6659
392	24235	6598
393	24304	6538
394	24328	6467
395	24394	6406
396	24460	6346
397	24527	6286
398	24593	6225
399	24656	6164
400	24719	6102
401	24763	6036
402	24828	5976
403	24890	5914
404	24956	5853
405	25018	5792
406	25080	5730
407	25142	5669
408	25210	5609
409	25276	5548
410	25340	5487
411	25402	5425
412	25465	5364
413	25528	5303
414	25591	5241
415	25659	5181
416	25723	5120
417	25786	5058
418	25852	4997
419	25916	4936
420	25982	4875
421	26045	4814
422	26112	4753
423	26174	4691
424	26237	4630
425	26300	4568
426	26369	4508
427	26433	4446
428	26494	4384
429	26558	4323
430	26630	4263
431	26705	4203
432	26780	4143
433	26818	4078
434	26887	4017
435	26958	3957
436	27026	3896
437	27097	3835
438	27164	3774
439	27233	3713
440	27300	3652
441	27372	3591
442	27442	3531
443	27510	3469
444	27575	3408
445	27647	3347
446	27713	3285
447	27783	3224
448	27851	3163
449	27925	3102
450	27996	3041
451	28065	2980
452	28141	2919
453	28237	2861
454	28314	2800
455	28384	2738
456	28448	2676
457	28509	2614
458	28574	2552
459	28637	2490
460	28699	2427
461	28764	2365
462	28828	2303
463	28889	2241
464	28954	2179
465	29021	2117
466	29087	2055
467	29151	1993
468	29213	1930
469	29277	1868
470	29346	1806
471	29410	1744
472	29474	1682
473	29536	1620
474	29603	1558
475	29666	1495
476	29731	1433
477	29798	1371
478	29858	1309
479	29923	1246
480	29985	1184
481	30050	1122
482	30124	1060
483	30188	997
484	30251	935
485	30320	873
486	30385	811
487	30446	748
488	30511	686
489	30584	624
490	30656	561
491	30723	499
492	30791	437
493	30859	374
494	30928	312
495	30996	249
496	31068	187
497	31136	125
498	31205	62
499	31270	0
