iter	RMSE
154	43377.12682
155	43358.85717
156	43331.38156
157	43315.09446
158	43299.9634
159	43268.99417
160	43231.79373
161	43230.62823
162	43184.80933
163	43166.49774
164	43166.382
165	43134.8629
166	43115.04661
167	43097.54635
168	43078.47426
169	43063.83112
170	43031.87033
171	43023.72616
172	42992.31454
173	42944.79899
174	42929.17446
175	42927.82179
176	42927.49886
177	42885.17102
178	42880.42782
179	42852.31728
180	42832.64158
181	42815.98374
182	42759.08568
183	42733.3074
184	42713.88761
185	42691.59012
186	42645.72421
187	42620.39616
188	42567.44822
189	42526.23379
190	42513.90383
191	42465.33781
192	42461.72599
193	42408.87725
194	42384.56768
195	42353.59307
196	42341.42421
197	42295.60468
198	42257.37937
199	42232.54212
200	42197.74064
201	42188.98091
202	42176.60875
203	42152.2754
204	42140.04863
205	42135.86217
206	42122.47573
207	42110.4329
208	42046.88653
209	42041.27123
210	42035.18648
211	42013.96672
212	42004.5506
213	42003.92494
214	41991.60025
215	41958.96972
216	41926.53512
217	41924.37873
218	41906.3989
219	41873.62389
220	41867.35047
221	41855.05107
222	41841.10822
223	41811.81658
224	41778.45751
225	41717.86195
226	41676.58411
227	41658.04301
228	41624.8682
229	41595.93755
230	41572.24705
231	41527.36428
232	41518.10204
233	41503.65304
234	41482.57376
235	41443.80266
236	41428.5823
237	41412.05011
238	41390.42471
239	41355.72459
240	41303.20253
241	41283.59142
242	41263.76772
243	41235.55914
244	41225.32166
245	41211.39283
246	41203.89855
247	41189.14562
248	41157.2068
249	41154.63324
250	41141.22614
251	41132.37943
252	41101.88413
253	41086.94211
254	41045.71252
255	41040.20525
256	41006.1241
257	40994.82719
258	40978.6942
259	40959.94486
260	40942.74994
261	40940.51122
262	40917.78391
263	40892.45276
264	40890.1013
265	40877.71248
266	40851.55803
267	40838.30266
268	40824.54176
269	40741.40607
270	40714.76565
271	40698.03057
272	40683.92465
273	40668.52178
274	40616.7981
275	40582.83234
276	40556.06207
277	40479.79317
278	40412.84325
279	40392.40976
280	40368.02394
281	40365.97503
282	40338.92314
283	40324.67934
284	40322.19444
285	40304.33434
286	40292.60283
287	40290.47329
288	40278.80053
289	40263.33384
290	40261.48645
291	40251.87661
292	40233.59031
293	40226.6269
294	40222.41171
295	40198.20797
296	40178.26814
297	40172.76458
298	40110.27687
299	40098.45157
300	40076.34063
301	40055.32648
302	40046.61929
303	40039.18982
304	40017.30482
305	40005.90072
306	40000.45474
307	39979.40474
308	39962.05194
309	39942.14221
310	39938.89795
311	39929.86411
312	39919.48375
313	39893.62733
314	39876.16924
315	39866.47484
316	39860.44612
317	39841.84712
318	39821.86806
319	39806.14788
320	39793.16549
321	39757.30337
322	39741.60035
323	39713.70452
324	39701.68498
325	39686.06135
326	39669.16038
327	39660.51295
328	39653.79132
329	39640.86577
330	39628.35225
331	39612.5287
332	39607.23477
333	39604.75684
334	39584.42183
335	39526.88256
336	39504.17721
337	39502.19555
338	39463.71639
339	39461.12199
340	39439.10985
341	39423.71801
342	39418.5362
343	39387.53677
344	39382.12515
345	39321.35984
346	39285.32708
347	39267.27684
348	39261.97975
349	39255.74221
350	39251.44173
351	39225.84807
352	39200.7181
353	39184.10395
354	39182.71571
355	39182.43221
356	39158.90896
357	39132.37985
358	39113.35267
359	39104.01277
360	39101.14339
361	39089.00039
362	39072.87013
363	39070.7221
364	39069.56184
365	39068.02896
366	39053.25481
367	39049.35188
368	39031.33479
369	39026.43659
370	39011.9297
371	38986.873
372	38959.38489
373	38929.23333
374	38920.5877
375	38891.18919
376	38891.04584
377	38889.09395
378	38872.33927
379	38852.10953
380	38849.81675
381	38837.7528
382	38827.56606
383	38824.71691
384	38813.13742
385	38787.43117
386	38732.21498
387	38728.12327
388	38722.57285
389	38716.712
390	38696.98538
391	38693.54023
392	38681.31299
393	38653.90203
394	38652.41462
395	38630.82938
396	38592.39806
397	38569.1756
398	38562.75619
399	38546.01182
400	38537.54652
401	38537.26602
402	38516.68441
403	38506.44707
404	38490.31481
405	38466.67077
406	38451.29434
407	38441.73174
408	38419.99223
409	38402.11697
410	38396.81559
411	38392.11893
412	38365.17641
413	38356.86081
414	38347.91708
415	38325.72502
416	38324.14184
417	38317.80321
418	38289.96713
419	38278.91905
420	38274.78793
421	38264.93043
422	38222.70578
423	38198.63646
424	38172.87105
425	38166.762
426	38158.91609
427	38151.05058
428	38148.81881
429	38127.53974
430	38094.12549
431	38090.20382
432	38081.20503
433	38080.8673
434	38048.93786
435	38043.49799
436	38040.07714
437	38014.68953
438	38004.89245
439	37995.00288
440	37994.4647
441	37964.69821
442	37952.39834
443	37941.39137
444	37917.61292
445	37914.97209
446	37907.9738
447	37901.9188
448	37901.50306
449	37897.58032
450	37861.98687
451	37842.76241
452	37793.33987
453	37783.05307
454	37776.84981
455	37767.79171
456	37755.04584
457	37747.61992
458	37726.6903
459	37709.61712
460	37703.14503
461	37692.88968
462	37680.21341
463	37680.08653
464	37643.02068
465	37634.42994
466	37623.69376
467	37616.75959
468	37613.61222
469	37609.26622
470	37604.4495
471	37599.37074
472	37593.27809
473	37592.02613
474	37581.69091
475	37540.88538
476	37534.86754
477	37519.26869
478	37515.00534
479	37501.20895
480	37486.12604
481	37481.54294
482	37475.43432
483	37464.15342
484	37463.08127
485	37448.12308
486	37441.13321
487	37435.84329
488	37416.3535
489	37396.40032
490	37390.60932
491	37382.29673
492	37369.65114
493	37362.64581
494	37362.4133
495	37347.70365
496	37342.27217
497	37331.92363
498	37318.86677
499	37309.88631
